ATT_NUMBER,SEASON,WEEK,GDATE,WEEKDAY,TIME,TIME_BUCKET,WIN_LOSS,HOME_GAME,OT,REG_OR_POST,OPP,OPP_DIVISION,OPP_CONFERENCE,QTR,DOWN,YTG,COMPLETION,RECEIVER,RECEIVER_ID,RECEIVER_POS,YDS,TD,INT,FIRST_DOWN,AIR_YDS,YDS_AFTER_CATCH,QB_POSITION,FIELD_TARGET
1364,2012,1,9/9/2012,1,12:00 PM,Early,W,1,0,Reg,Colts,AFC-South,AFC,2,2,20,1,Brandon Marshall,10,WR,9,0,0,0,8,1,Shotgun,L
1366,2012,1,9/9/2012,1,12:00 PM,Early,W,1,0,Reg,Colts,AFC-South,AFC,2,1,10,0,Brandon Marshall,10,WR,0,0,0,0,0,0,Under Center,R
1369,2012,1,9/9/2012,1,12:00 PM,Early,W,1,0,Reg,Colts,AFC-South,AFC,2,2,9,1,Brandon Marshall,10,WR,13,0,0,1,5,8,Shotgun,L
1373,2012,1,9/9/2012,1,12:00 PM,Early,W,1,0,Reg,Colts,AFC-South,AFC,3,3,6,0,Brandon Marshall,10,WR,0,0,0,0,0,0,Shotgun,M
1376,2012,1,9/9/2012,1,12:00 PM,Early,W,1,0,Reg,Colts,AFC-South,AFC,3,3,13,1,Brandon Marshall,10,WR,12,0,0,0,6,6,Shotgun,L
1377,2012,1,9/9/2012,1,12:00 PM,Early,W,1,0,Reg,Colts,AFC-South,AFC,4,2,9,1,Brandon Marshall,10,WR,22,0,0,1,15,7,Under Center,LS
1393,2012,2,9/13/2012,5,7:20 PM,Primetime,L,0,0,Reg,Packers,NFC-North,NFC,3,3,4,0,Brandon Marshall,10,WR,0,0,0,0,0,0,Shotgun,LS
1397,2012,2,9/13/2012,5,7:20 PM,Primetime,L,0,0,Reg,Packers,NFC-North,NFC,4,1,10,0,Brandon Marshall,10,WR,0,0,1,0,0,0,Under Center,LS
1401,2012,2,9/13/2012,5,7:20 PM,Primetime,L,0,0,Reg,Packers,NFC-North,NFC,4,2,17,1,Brandon Marshall,10,WR,10,0,0,0,10,0,Shotgun,LS
1402,2012,2,9/13/2012,5,7:20 PM,Primetime,L,0,0,Reg,Packers,NFC-North,NFC,4,3,7,0,Brandon Marshall,10,WR,0,0,0,0,0,0,Shotgun,LS
1404,2012,2,9/13/2012,5,7:20 PM,Primetime,L,0,0,Reg,Packers,NFC-North,NFC,4,3,19,1,Brandon Marshall,10,WR,14,0,0,0,12,2,Shotgun,LS
1407,2012,3,9/23/2012,1,12:00 PM,Early,W,1,0,Reg,Rams,NFC-West,NFC,1,2,10,1,Brandon Marshall,10,WR,9,0,0,0,9,0,Under Center,R
1410,2012,3,9/23/2012,1,12:00 PM,Early,W,1,0,Reg,Rams,NFC-West,NFC,1,1,10,1,Brandon Marshall,10,WR,3,0,0,0,-4,7,Under Center,L
1412,2012,3,9/23/2012,1,12:00 PM,Early,W,1,0,Reg,Rams,NFC-West,NFC,1,3,7,0,Brandon Marshall,10,WR,0,0,0,0,0,0,Shotgun,L
1416,2012,3,9/23/2012,1,12:00 PM,Early,W,1,0,Reg,Rams,NFC-West,NFC,1,2,10,0,Brandon Marshall,10,WR,0,0,1,0,0,0,Shotgun,L
1417,2012,3,9/23/2012,1,12:00 PM,Early,W,1,0,Reg,Rams,NFC-West,NFC,2,2,14,0,Brandon Marshall,10,WR,0,0,0,0,0,0,Shotgun,M
1423,2012,3,9/23/2012,1,12:00 PM,Early,W,1,0,Reg,Rams,NFC-West,NFC,2,1,10,1,Brandon Marshall,10,WR,13,0,0,1,12,1,Under Center,M
1424,2012,3,9/23/2012,1,12:00 PM,Early,W,1,0,Reg,Rams,NFC-West,NFC,2,3,8,1,Brandon Marshall,10,WR,12,0,0,1,4,8,Shotgun,M
1425,2012,3,9/23/2012,1,12:00 PM,Early,W,1,0,Reg,Rams,NFC-West,NFC,3,1,10,0,Brandon Marshall,10,WR,0,0,0,0,0,0,Under Center,L
1426,2012,3,9/23/2012,1,12:00 PM,Early,W,1,0,Reg,Rams,NFC-West,NFC,3,3,8,0,Brandon Marshall,10,WR,0,0,0,0,0,0,Shotgun,LS
1434,2012,3,9/23/2012,1,12:00 PM,Early,W,1,0,Reg,Rams,NFC-West,NFC,4,3,4,0,Brandon Marshall,10,WR,0,0,0,0,0,0,Shotgun,L
1436,2012,3,9/23/2012,1,12:00 PM,Early,W,1,0,Reg,Rams,NFC-West,NFC,4,1,10,1,Brandon Marshall,10,WR,34,0,0,1,24,10,Under Center,RS
1438,2012,4,10/1/2012,2,7:30 PM,Primetime,W,0,0,Reg,Cowboys,NFC-East,NFC,1,3,7,1,Brandon Marshall,10,WR,13,0,0,1,6,7,Shotgun,R
1444,2012,4,10/1/2012,2,7:30 PM,Primetime,W,0,0,Reg,Cowboys,NFC-East,NFC,2,2,9,1,Brandon Marshall,10,WR,18,0,0,1,7,11,Under Center,R
1451,2012,4,10/1/2012,2,7:30 PM,Primetime,W,0,0,Reg,Cowboys,NFC-East,NFC,3,1,10,1,Brandon Marshall,10,WR,10,0,0,1,10,0,Under Center,L
1453,2012,4,10/1/2012,2,7:30 PM,Primetime,W,0,0,Reg,Cowboys,NFC-East,NFC,3,1,10,1,Brandon Marshall,10,WR,25,0,0,1,6,19,Under Center,M
1454,2012,4,10/1/2012,2,7:30 PM,Primetime,W,0,0,Reg,Cowboys,NFC-East,NFC,3,1,10,1,Brandon Marshall,10,WR,11,0,0,1,9,2,Under Center,M
1457,2012,4,10/1/2012,2,7:30 PM,Primetime,W,0,0,Reg,Cowboys,NFC-East,NFC,4,3,5,1,Brandon Marshall,10,WR,30,0,0,1,18,12,Shotgun,RS
1458,2012,4,10/1/2012,2,7:30 PM,Primetime,W,0,0,Reg,Cowboys,NFC-East,NFC,4,3,4,0,Brandon Marshall,10,WR,0,0,0,0,0,0,Shotgun,LS
1460,2012,4,10/1/2012,2,7:30 PM,Primetime,W,0,0,Reg,Cowboys,NFC-East,NFC,4,3,6,1,Brandon Marshall,10,WR,31,1,0,1,5,26,Under Center,M
1461,2012,5,10/7/2012,1,3:05 PM,Late,W,0,0,Reg,Jaguars,AFC-South,AFC,1,3,1,0,Brandon Marshall,10,WR,0,0,1,0,0,0,Shotgun,L
1464,2012,5,10/7/2012,1,3:05 PM,Late,W,0,0,Reg,Jaguars,AFC-South,AFC,1,1,10,1,Brandon Marshall,10,WR,11,0,0,1,7,4,Under Center,R
1468,2012,5,10/7/2012,1,3:05 PM,Late,W,0,0,Reg,Jaguars,AFC-South,AFC,2,1,10,1,Brandon Marshall,10,WR,11,0,0,1,4,7,Under Center,L
1471,2012,5,10/7/2012,1,3:05 PM,Late,W,0,0,Reg,Jaguars,AFC-South,AFC,2,2,12,1,Brandon Marshall,10,WR,7,0,0,0,5,2,Under Center,R
1472,2012,5,10/7/2012,1,3:05 PM,Late,W,0,0,Reg,Jaguars,AFC-South,AFC,2,3,5,0,Brandon Marshall,10,WR,0,0,0,0,0,0,Shotgun,LS
1475,2012,5,10/7/2012,1,3:05 PM,Late,W,0,0,Reg,Jaguars,AFC-South,AFC,2,1,20,1,Brandon Marshall,10,WR,15,0,0,0,8,7,Shotgun,RS
1478,2012,5,10/7/2012,1,3:05 PM,Late,W,0,0,Reg,Jaguars,AFC-South,AFC,2,1,10,0,Brandon Marshall,10,WR,0,0,0,0,0,0,Shotgun,LS
1481,2012,5,10/7/2012,1,3:05 PM,Late,W,0,0,Reg,Jaguars,AFC-South,AFC,3,2,7,0,Brandon Marshall,10,WR,0,0,0,0,0,0,Under Center,R
1482,2012,5,10/7/2012,1,3:05 PM,Late,W,0,0,Reg,Jaguars,AFC-South,AFC,3,3,7,1,Brandon Marshall,10,WR,18,0,0,1,16,2,Shotgun,M
1483,2012,5,10/7/2012,1,3:05 PM,Late,W,0,0,Reg,Jaguars,AFC-South,AFC,3,2,10,1,Brandon Marshall,10,WR,7,0,0,0,6,1,Under Center,R
1485,2012,5,10/7/2012,1,3:05 PM,Late,W,0,0,Reg,Jaguars,AFC-South,AFC,3,2,15,1,Brandon Marshall,10,WR,6,0,0,0,5,1,Shotgun,M
1486,2012,5,10/7/2012,1,3:05 PM,Late,W,0,0,Reg,Jaguars,AFC-South,AFC,3,3,9,1,Brandon Marshall,10,WR,8,0,0,0,5,3,Shotgun,M
1487,2012,5,10/7/2012,1,3:05 PM,Late,W,0,0,Reg,Jaguars,AFC-South,AFC,3,4,1,1,Brandon Marshall,10,WR,12,0,0,1,9,3,Under Center,R
1489,2012,5,10/7/2012,1,3:05 PM,Late,W,0,0,Reg,Jaguars,AFC-South,AFC,3,2,7,1,Brandon Marshall,10,WR,4,0,0,0,3,1,Under Center,L
1490,2012,5,10/7/2012,1,3:05 PM,Late,W,0,0,Reg,Jaguars,AFC-South,AFC,3,3,13,0,Brandon Marshall,10,WR,0,0,0,0,0,0,Shotgun,M
1493,2012,5,10/7/2012,1,3:05 PM,Late,W,0,0,Reg,Jaguars,AFC-South,AFC,3,3,6,1,Brandon Marshall,10,WR,21,0,0,1,16,5,Shotgun,R
1499,2012,5,10/7/2012,1,3:05 PM,Late,W,0,0,Reg,Jaguars,AFC-South,AFC,4,3,3,1,Brandon Marshall,10,WR,24,1,0,1,24,0,Under Center,RS
1500,2012,7,10/22/2012,2,7:30 PM,Primetime,W,1,0,Reg,Lions,NFC-North,NFC,1,1,7,1,Brandon Marshall,10,WR,7,1,0,1,6,1,Under Center,RS
1504,2012,7,10/22/2012,2,7:30 PM,Primetime,W,1,0,Reg,Lions,NFC-North,NFC,1,2,7,0,Brandon Marshall,10,WR,0,0,0,0,0,0,Under Center,R
1512,2012,7,10/22/2012,2,7:30 PM,Primetime,W,1,0,Reg,Lions,NFC-North,NFC,2,3,11,1,Brandon Marshall,10,WR,18,0,0,1,7,11,Under Center,R
1513,2012,7,10/22/2012,2,7:30 PM,Primetime,W,1,0,Reg,Lions,NFC-North,NFC,2,2,8,1,Brandon Marshall,10,WR,11,0,0,1,2,9,Under Center,R
1515,2012,7,10/22/2012,2,7:30 PM,Primetime,W,1,0,Reg,Lions,NFC-North,NFC,2,3,2,1,Brandon Marshall,10,WR,20,0,0,1,19,1,Shotgun,LS
1519,2012,7,10/22/2012,2,7:30 PM,Primetime,W,1,0,Reg,Lions,NFC-North,NFC,3,2,7,1,Brandon Marshall,10,WR,9,0,0,1,5,4,Shotgun,R
1520,2012,7,10/22/2012,2,7:30 PM,Primetime,W,1,0,Reg,Lions,NFC-North,NFC,3,1,3,0,Brandon Marshall,10,WR,0,0,0,0,0,0,Under Center,R
1521,2012,7,10/22/2012,2,7:30 PM,Primetime,W,1,0,Reg,Lions,NFC-North,NFC,3,2,3,0,Brandon Marshall,10,WR,0,0,0,0,0,0,Under Center,RS
1528,2012,7,10/22/2012,2,7:30 PM,Primetime,W,1,0,Reg,Lions,NFC-North,NFC,4,3,4,1,Brandon Marshall,10,WR,16,0,0,1,15,1,Shotgun,LS
1530,2012,7,10/22/2012,2,7:30 PM,Primetime,W,1,0,Reg,Lions,NFC-North,NFC,4,2,5,0,Brandon Marshall,10,WR,0,0,0,0,0,0,Under Center,RS
1531,2012,8,10/28/2012,1,12:00 PM,Early,W,1,0,Reg,Panthers,NFC-South,NFC,1,2,4,1,Brandon Marshall,10,WR,9,0,0,1,9,0,Under Center,RS
1532,2012,8,10/28/2012,1,12:00 PM,Early,W,1,0,Reg,Panthers,NFC-South,NFC,1,2,1,0,Brandon Marshall,10,WR,0,0,1,0,0,0,Under Center,R
1533,2012,8,10/28/2012,1,12:00 PM,Early,W,1,0,Reg,Panthers,NFC-South,NFC,1,1,10,1,Brandon Marshall,10,WR,18,0,0,1,17,1,Under Center,L
1535,2012,8,10/28/2012,1,12:00 PM,Early,W,1,0,Reg,Panthers,NFC-South,NFC,2,1,10,0,Brandon Marshall,10,WR,0,0,0,0,0,0,Under Center,R
1536,2012,8,10/28/2012,1,12:00 PM,Early,W,1,0,Reg,Panthers,NFC-South,NFC,2,2,10,0,Brandon Marshall,10,WR,0,0,0,0,0,0,Under Center,RS
1538,2012,8,10/28/2012,1,12:00 PM,Early,W,1,0,Reg,Panthers,NFC-South,NFC,2,3,7,0,Brandon Marshall,10,WR,0,0,0,0,0,0,Shotgun,LS
1539,2012,8,10/28/2012,1,12:00 PM,Early,W,1,0,Reg,Panthers,NFC-South,NFC,2,1,10,1,Brandon Marshall,10,WR,11,0,0,1,11,0,Shotgun,M
1545,2012,8,10/28/2012,1,12:00 PM,Early,W,1,0,Reg,Panthers,NFC-South,NFC,4,1,10,1,Brandon Marshall,10,WR,13,0,0,1,14,-1,Under Center,L
1548,2012,8,10/28/2012,1,12:00 PM,Early,W,1,0,Reg,Panthers,NFC-South,NFC,4,1,10,0,Brandon Marshall,10,WR,0,0,0,0,0,0,Under Center,L
1549,2012,8,10/28/2012,1,12:00 PM,Early,W,1,0,Reg,Panthers,NFC-South,NFC,4,3,8,1,Brandon Marshall,10,WR,11,0,0,1,5,6,Shotgun,L
1553,2012,8,10/28/2012,1,12:00 PM,Early,W,1,0,Reg,Panthers,NFC-South,NFC,4,2,6,1,Brandon Marshall,10,WR,8,0,0,1,8,0,Shotgun,L
1555,2012,8,10/28/2012,1,12:00 PM,Early,W,1,0,Reg,Panthers,NFC-South,NFC,4,1,10,1,Brandon Marshall,10,WR,7,0,0,0,7,0,Shotgun,L
1557,2012,8,10/28/2012,1,12:00 PM,Early,W,1,0,Reg,Panthers,NFC-South,NFC,4,3,3,1,Brandon Marshall,10,WR,11,0,0,1,7,4,Shotgun,L
1558,2012,8,10/28/2012,1,12:00 PM,Early,W,1,0,Reg,Panthers,NFC-South,NFC,4,1,10,1,Brandon Marshall,10,WR,10,0,0,1,7,3,Shotgun,L
1561,2012,9,11/4/2012,1,12:00 PM,Early,W,0,0,Reg,Titans,AFC-South,AFC,1,3,10,0,Brandon Marshall,10,WR,0,0,0,0,0,0,Shotgun,RS
1563,2012,9,11/4/2012,1,12:00 PM,Early,W,0,0,Reg,Titans,AFC-South,AFC,1,2,10,1,Brandon Marshall,10,WR,3,0,0,0,4,-1,Shotgun,LS
1564,2012,9,11/4/2012,1,12:00 PM,Early,W,0,0,Reg,Titans,AFC-South,AFC,1,3,7,1,Brandon Marshall,10,WR,13,1,0,1,13,0,Shotgun,LS
1565,2012,9,11/4/2012,1,12:00 PM,Early,W,0,0,Reg,Titans,AFC-South,AFC,2,2,8,1,Brandon Marshall,10,WR,3,0,0,0,3,0,Shotgun,R
1568,2012,9,11/4/2012,1,12:00 PM,Early,W,0,0,Reg,Titans,AFC-South,AFC,2,2,10,1,Brandon Marshall,10,WR,5,0,0,0,-3,8,Under Center,L
1572,2012,9,11/4/2012,1,12:00 PM,Early,W,0,0,Reg,Titans,AFC-South,AFC,3,3,15,1,Brandon Marshall,10,WR,7,0,0,0,6,1,Shotgun,L
1575,2012,9,11/4/2012,1,12:00 PM,Early,W,0,0,Reg,Titans,AFC-South,AFC,3,1,10,1,Brandon Marshall,10,WR,18,0,0,1,7,11,Under Center,LS
1577,2012,9,11/4/2012,1,12:00 PM,Early,W,0,0,Reg,Titans,AFC-South,AFC,3,1,10,1,Brandon Marshall,10,WR,29,0,0,1,26,3,Under Center,RS
1582,2012,9,11/4/2012,1,12:00 PM,Early,W,0,0,Reg,Titans,AFC-South,AFC,4,2,10,1,Brandon Marshall,10,WR,39,1,0,1,39,0,Under Center,RS
1584,2012,9,11/4/2012,1,12:00 PM,Early,W,0,0,Reg,Titans,AFC-South,AFC,4,3,5,1,Brandon Marshall,10,WR,5,1,0,1,5,0,Shotgun,R
1588,2012,10,11/11/2012,1,7:30 PM,Primetime,L,1,0,Reg,Texans,AFC-South,AFC,1,1,10,1,Brandon Marshall,10,WR,14,0,0,1,13,1,Under Center,R
1590,2012,10,11/11/2012,1,7:30 PM,Primetime,L,1,0,Reg,Texans,AFC-South,AFC,2,3,5,0,Brandon Marshall,10,WR,0,0,0,0,0,0,Shotgun,RS
1592,2012,10,11/11/2012,1,7:30 PM,Primetime,L,1,0,Reg,Texans,AFC-South,AFC,2,2,10,1,Brandon Marshall,10,WR,7,0,0,0,-2,9,Shotgun,L
1595,2012,10,11/11/2012,1,7:30 PM,Primetime,L,1,0,Reg,Texans,AFC-South,AFC,2,2,10,0,Brandon Marshall,10,WR,0,0,1,0,0,0,Under Center,LS
1600,2012,12,11/25/2012,1,12:00 PM,Early,W,1,0,Reg,Vikings,NFC-North,NFC,1,2,6,0,Brandon Marshall,10,WR,0,0,0,0,0,0,Under Center,L
1603,2012,12,11/25/2012,1,12:00 PM,Early,W,1,0,Reg,Vikings,NFC-North,NFC,1,1,10,1,Brandon Marshall,10,WR,8,0,0,0,3,5,Under Center,R
1604,2012,12,11/25/2012,1,12:00 PM,Early,W,1,0,Reg,Vikings,NFC-North,NFC,1,2,9,1,Brandon Marshall,10,WR,8,0,0,0,3,5,Under Center,LS
1605,2012,12,11/25/2012,1,12:00 PM,Early,W,1,0,Reg,Vikings,NFC-North,NFC,1,3,14,1,Brandon Marshall,10,WR,-7,0,0,0,4,-11,Under Center,R
1607,2012,12,11/25/2012,1,12:00 PM,Early,W,1,0,Reg,Vikings,NFC-North,NFC,2,1,10,1,Brandon Marshall,10,WR,7,0,0,0,4,3,Under Center,R
1610,2012,12,11/25/2012,1,12:00 PM,Early,W,1,0,Reg,Vikings,NFC-North,NFC,2,3,4,1,Brandon Marshall,10,WR,6,0,0,1,4,2,Shotgun,R
1614,2012,12,11/25/2012,1,12:00 PM,Early,W,1,0,Reg,Vikings,NFC-North,NFC,2,2,10,1,Brandon Marshall,10,WR,8,0,0,0,8,0,Shotgun,L
1617,2012,12,11/25/2012,1,12:00 PM,Early,W,1,0,Reg,Vikings,NFC-North,NFC,3,3,6,1,Brandon Marshall,10,WR,17,0,0,1,6,11,Shotgun,L
1619,2012,12,11/25/2012,1,12:00 PM,Early,W,1,0,Reg,Vikings,NFC-North,NFC,3,1,10,0,Brandon Marshall,10,WR,0,0,1,0,0,0,Under Center,R
1620,2012,12,11/25/2012,1,12:00 PM,Early,W,1,0,Reg,Vikings,NFC-North,NFC,3,3,4,1,Brandon Marshall,10,WR,8,0,0,1,7,1,Shotgun,L
1621,2012,12,11/25/2012,1,12:00 PM,Early,W,1,0,Reg,Vikings,NFC-North,NFC,3,2,9,1,Brandon Marshall,10,WR,3,0,0,0,3,0,Under Center,M
1622,2012,12,11/25/2012,1,12:00 PM,Early,W,1,0,Reg,Vikings,NFC-North,NFC,3,3,6,1,Brandon Marshall,10,WR,10,0,0,1,10,0,Shotgun,L
1623,2012,12,11/25/2012,1,12:00 PM,Early,W,1,0,Reg,Vikings,NFC-North,NFC,3,2,7,1,Brandon Marshall,10,WR,11,0,0,1,8,3,Under Center,R
1624,2012,12,11/25/2012,1,12:00 PM,Early,W,1,0,Reg,Vikings,NFC-North,NFC,3,3,1,0,Brandon Marshall,10,WR,0,0,0,0,0,0,Under Center,L
1625,2012,12,11/25/2012,1,12:00 PM,Early,W,1,0,Reg,Vikings,NFC-North,NFC,4,1,10,1,Brandon Marshall,10,WR,13,0,0,1,8,5,Under Center,L
1627,2012,12,11/25/2012,1,12:00 PM,Early,W,1,0,Reg,Vikings,NFC-North,NFC,4,2,8,0,Brandon Marshall,10,WR,0,0,0,0,0,0,Under Center,R
1629,2012,12,11/25/2012,1,12:00 PM,Early,W,1,0,Reg,Vikings,NFC-North,NFC,4,3,2,0,Brandon Marshall,10,WR,0,0,0,0,0,0,Under Center,L
1631,2012,13,12/2/2012,1,12:00 PM,Early,L,1,1,Reg,Seahawks,NFC-West,NFC,1,3,12,1,Brandon Marshall,10,WR,29,0,0,1,19,10,Shotgun,L
1633,2012,13,12/2/2012,1,12:00 PM,Early,L,1,1,Reg,Seahawks,NFC-West,NFC,1,1,10,1,Brandon Marshall,10,WR,14,0,0,1,10,4,Under Center,M
1634,2012,13,12/2/2012,1,12:00 PM,Early,L,1,1,Reg,Seahawks,NFC-West,NFC,1,2,10,0,Brandon Marshall,10,WR,0,0,0,0,0,0,Under Center,M
1637,2012,13,12/2/2012,1,12:00 PM,Early,L,1,1,Reg,Seahawks,NFC-West,NFC,1,2,9,1,Brandon Marshall,10,WR,8,0,0,0,7,1,Under Center,LS
1638,2012,13,12/2/2012,1,12:00 PM,Early,L,1,1,Reg,Seahawks,NFC-West,NFC,1,1,10,1,Brandon Marshall,10,WR,12,0,0,1,11,1,Under Center,L
1639,2012,13,12/2/2012,1,12:00 PM,Early,L,1,1,Reg,Seahawks,NFC-West,NFC,2,2,8,1,Brandon Marshall,10,WR,19,0,0,1,18,1,Under Center,LS
1640,2012,13,12/2/2012,1,12:00 PM,Early,L,1,1,Reg,Seahawks,NFC-West,NFC,2,1,10,0,Brandon Marshall,10,WR,0,0,0,0,0,0,Under Center,LS
1642,2012,13,12/2/2012,1,12:00 PM,Early,L,1,1,Reg,Seahawks,NFC-West,NFC,2,2,10,1,Brandon Marshall,10,WR,7,0,0,0,6,1,Under Center,R
1645,2012,13,12/2/2012,1,12:00 PM,Early,L,1,1,Reg,Seahawks,NFC-West,NFC,2,3,6,1,Brandon Marshall,10,WR,5,0,0,0,4,1,Shotgun,M
1646,2012,13,12/2/2012,1,12:00 PM,Early,L,1,1,Reg,Seahawks,NFC-West,NFC,3,2,5,1,Brandon Marshall,10,WR,2,0,0,0,2,0,Under Center,LS
1647,2012,13,12/2/2012,1,12:00 PM,Early,L,1,1,Reg,Seahawks,NFC-West,NFC,3,3,3,0,Brandon Marshall,10,WR,0,0,0,0,0,0,Shotgun,RS
1650,2012,13,12/2/2012,1,12:00 PM,Early,L,1,1,Reg,Seahawks,NFC-West,NFC,3,1,10,1,Brandon Marshall,10,WR,13,0,0,1,12,1,Under Center,RS
1653,2012,13,12/2/2012,1,12:00 PM,Early,L,1,1,Reg,Seahawks,NFC-West,NFC,3,1,10,0,Brandon Marshall,10,WR,0,0,0,0,0,0,Under Center,L
1655,2012,13,12/2/2012,1,12:00 PM,Early,L,1,1,Reg,Seahawks,NFC-West,NFC,4,1,10,1,Brandon Marshall,10,WR,56,0,0,1,44,12,Shotgun,RS
1660,2012,14,12/9/2012,1,12:00 PM,Early,L,0,0,Reg,Vikings,NFC-North,NFC,1,2,10,0,Brandon Marshall,10,WR,0,0,0,0,0,0,Under Center,R
1663,2012,14,12/9/2012,1,12:00 PM,Early,L,0,0,Reg,Vikings,NFC-North,NFC,1,1,10,0,Brandon Marshall,10,WR,0,0,0,0,0,0,Under Center,R
1664,2012,14,12/9/2012,1,12:00 PM,Early,L,0,0,Reg,Vikings,NFC-North,NFC,1,3,4,1,Brandon Marshall,10,WR,12,0,0,1,11,1,Under Center,M
1666,2012,14,12/9/2012,1,12:00 PM,Early,L,0,0,Reg,Vikings,NFC-North,NFC,1,3,9,0,Brandon Marshall,10,WR,0,0,0,0,0,0,Shotgun,L
1667,2012,14,12/9/2012,1,12:00 PM,Early,L,0,0,Reg,Vikings,NFC-North,NFC,2,2,8,1,Brandon Marshall,10,WR,39,0,0,1,37,2,Under Center,LS
1671,2012,14,12/9/2012,1,12:00 PM,Early,L,0,0,Reg,Vikings,NFC-North,NFC,2,1,5,1,Brandon Marshall,10,WR,11,0,0,1,12,-1,Under Center,LS
1672,2012,14,12/9/2012,1,12:00 PM,Early,L,0,0,Reg,Vikings,NFC-North,NFC,2,3,3,1,Brandon Marshall,10,WR,12,0,0,1,10,2,Under Center,R
1675,2012,14,12/9/2012,1,12:00 PM,Early,L,0,0,Reg,Vikings,NFC-North,NFC,2,2,2,1,Brandon Marshall,10,WR,20,0,0,1,16,4,Shotgun,LS
1676,2012,14,12/9/2012,1,12:00 PM,Early,L,0,0,Reg,Vikings,NFC-North,NFC,3,2,3,0,Brandon Marshall,10,WR,0,0,0,0,0,0,Under Center,RS
1678,2012,14,12/9/2012,1,12:00 PM,Early,L,0,0,Reg,Vikings,NFC-North,NFC,3,1,10,1,Brandon Marshall,10,WR,16,0,0,1,16,0,Under Center,RS
1682,2012,14,12/9/2012,1,12:00 PM,Early,L,0,0,Reg,Vikings,NFC-North,NFC,3,3,8,0,Brandon Marshall,10,WR,0,0,0,0,0,0,Shotgun,L
1683,2012,14,12/9/2012,1,12:00 PM,Early,L,0,0,Reg,Vikings,NFC-North,NFC,3,3,2,0,Brandon Marshall,10,WR,0,0,1,0,0,0,Shotgun,M
1686,2012,14,12/9/2012,1,12:00 PM,Early,L,0,0,Reg,Vikings,NFC-North,NFC,3,3,15,0,Brandon Marshall,10,WR,0,0,0,0,0,0,Shotgun,RS
1688,2012,14,12/9/2012,1,12:00 PM,Early,L,0,0,Reg,Vikings,NFC-North,NFC,4,2,6,0,Brandon Marshall,10,WR,0,0,0,0,0,0,Shotgun,M
1691,2012,14,12/9/2012,1,12:00 PM,Early,L,0,0,Reg,Vikings,NFC-North,NFC,4,2,10,1,Brandon Marshall,10,WR,22,0,0,1,17,5,Under Center,LS
1692,2012,14,12/9/2012,1,12:00 PM,Early,L,0,0,Reg,Vikings,NFC-North,NFC,4,1,10,0,Brandon Marshall,10,WR,0,0,0,0,0,0,Shotgun,M
1694,2012,14,12/9/2012,1,12:00 PM,Early,L,0,0,Reg,Vikings,NFC-North,NFC,4,3,10,1,Brandon Marshall,10,WR,7,0,0,0,6,1,Shotgun,L
1695,2012,14,12/9/2012,1,12:00 PM,Early,L,0,0,Reg,Vikings,NFC-North,NFC,4,4,3,1,Brandon Marshall,10,WR,5,0,0,1,4,1,Shotgun,R
1699,2012,14,12/9/2012,1,12:00 PM,Early,L,0,0,Reg,Vikings,NFC-North,NFC,4,4,6,0,Brandon Marshall,10,WR,0,0,0,0,0,0,Shotgun,R
1700,2012,15,12/16/2012,1,12:00 PM,Early,L,1,0,Reg,Packers,NFC-North,NFC,1,2,7,1,Brandon Marshall,10,WR,9,0,0,1,9,0,Under Center,RS
1704,2012,15,12/16/2012,1,12:00 PM,Early,L,1,0,Reg,Packers,NFC-North,NFC,2,2,10,1,Brandon Marshall,10,WR,10,0,0,1,5,5,Shotgun,L
1705,2012,15,12/16/2012,1,12:00 PM,Early,L,1,0,Reg,Packers,NFC-North,NFC,2,2,8,1,Brandon Marshall,10,WR,15,1,0,1,5,10,Shotgun,M
1706,2012,15,12/16/2012,1,12:00 PM,Early,L,1,0,Reg,Packers,NFC-North,NFC,2,3,12,1,Brandon Marshall,10,WR,0,0,0,0,-1,1,Shotgun,R
1714,2012,15,12/16/2012,1,12:00 PM,Early,L,1,0,Reg,Packers,NFC-North,NFC,4,1,10,1,Brandon Marshall,10,WR,11,0,0,1,10,1,Under Center,LS
1715,2012,15,12/16/2012,1,12:00 PM,Early,L,1,0,Reg,Packers,NFC-North,NFC,4,1,10,0,Brandon Marshall,10,WR,0,0,0,0,0,0,Shotgun,L
1717,2012,15,12/16/2012,1,12:00 PM,Early,L,1,0,Reg,Packers,NFC-North,NFC,4,3,20,1,Brandon Marshall,10,WR,11,0,0,0,5,6,Shotgun,M
1721,2012,16,12/23/2012,1,3:15 PM,Late,W,0,0,Reg,Cardinals,NFC-West,NFC,1,1,10,0,Brandon Marshall,10,WR,0,0,0,0,0,0,Under Center,LS
1722,2012,16,12/23/2012,1,3:15 PM,Late,W,0,0,Reg,Cardinals,NFC-West,NFC,1,2,10,0,Brandon Marshall,10,WR,0,0,0,0,0,0,Under Center,RS
1724,2012,16,12/23/2012,1,3:15 PM,Late,W,0,0,Reg,Cardinals,NFC-West,NFC,1,3,6,0,Brandon Marshall,10,WR,0,0,0,0,0,0,Shotgun,LS
1725,2012,16,12/23/2012,1,3:15 PM,Late,W,0,0,Reg,Cardinals,NFC-West,NFC,1,2,11,0,Brandon Marshall,10,WR,0,0,0,0,0,0,Under Center,LS
